numero,insee,x,y,z,periode,nom
1,110691,5979,18013,126,01/61 - 12/92,Carcassonne
3,111981,6147,18073,80,01/61 - 12/92,Laure M.
5,112062,5889,17826,230,01/71 - 12/92,Limoux
6,112622,6555,18000,6,01/61 - 12/92,Narbonne
7,114011,6316,17652,160,01/61 - 12/92,Tuchan
9,300031,7514,18390,1,01/70 - 12/92,Aigues-Mortes
11,300321,7858,18703,10,01/70 - 12/92,Beaucaire
13,300761,7748,19040,137,01/70 - 12/92,Cavillargues
15,301061,7298,18891,175,01/70 - 12/92,Durfort
17,301301,7289,19294,541,01/70 - 12/92,Genolhac
19,301531,7326,19378,803,01/70 - 12/92,Malons et Elze
21,301831,7437,18826,80,01/70 - 12/92,Moulezan
22,301891,7665,18749,60,01/70 - 12/92,Nimes (Courb.)
23,301892,7582,18759,130,01/70 - 12/92,Nimes (Mas P.)
25,302022,7819,19189,125,01/72 - 12/92,Pont-st-Esprit
27,302631,7212,18858,190,01/70 - 12/92,St Hippolyte
29,302731,7792,19221,7,06/71 - 12/92,St Julien de P.
31,303051,7453,19099,195,01/70 - 12/92,Salindres
33,303321,6839,18986,560,01/70 - 12/92,Treves
35,303391,6998,19031,1567,01/70 - 12/92,Mont-Aigoual
38,303501,7014,18883,259,01/70 - 12/92,Le Vigan
39,303521,7413,18672,35,01/70 - 12/92,Villevieille
41,340261,6341,18107,86,01/73 - 12/92,Beaufort
43,340381,6669,18568,280,01/73 - 12/92,Le Bousquet
45,340791,6892,18489,98,01/73 - 12/92,Clermont l'H.
47,341011,6924,18211,6,01/73 - 12/92,Florensac
49,341141,6990,18520,58,01/61 - 12/92,Gignac
51,341451,7453,18533,7,01/73 - 12/92,Lunel
53,341871,6465,18400,182,01/73 - 12/92,Orlargues
55,342321,6561,18333,94,01/73 - 12/92,Roquebrun
57,342451,6498,18245,130,01/73 - 12/92,St Chinian
59,342601,6572,18505,318,01/73 - 12/92,St Gervais
61,342841,6340,18319,332,01/73 - 12/92,St Pons
63,343012,7099,18227,80,01/61 - 12/92,Sete
71,111701,6650,17939,1,01/70 - 12/92,Gruissan
72,301171,7793,18586,3,05/71 - 12/92,Fourques
73,302583,7673,18597,72,02/74 - 12/92,St Gilles
74,341501,7017,18172,2,03/71 - 12/92,Marseillan
75,660021,6531,17358,10,10/70 - 12/92,Alenya
